crm_pos_potential.pos_id,crm_pos_potential.potential
6089897,0
5943777,17
5946758,10
5956245,0
5956572,0
5939508,10
5940893,10
5943141,1
5945420,7
5941893,5
5944493,2
5938083,54
5939121,8
5941279,4
5938329,5
5938437,8
6084249,0
6085206,0
6084212,0
6117712,14
6030207,0
5939554,0
5944053,0
5943688,0
6029129,0
6029179,0
6029267,0
6029320,0
5957260,0
5954762,0
5955728,13
6034029,0
6114027,5
6114028,16
6114049,15
4786251,0
4786433,0
4786632,0
4786652,0
4787036,0
4786932,0
4786460,0
5242100,0
5275773,0
6031354,0
6031441,0
5942760,1
6117410,0
6030393,0
5955740,0
6117569,16
6117593,14
6030488,0
6030503,0
6030512,0
6030571,0
6030575,0
6030613,0
5954866,0
6030630,0
6030682,0
6030692,0
6030733,0
6030736,0
6003518,19
6030835,0
6030877,0
5943205,47
5943529,2
6117752,17
6030946,0
6030981,0
6031042,0
6031046,0
6116995,11
6117005,12
6031225,0
6031272,0
6031298,0
5943210,18
6002815,0
6002831,0
6002833,0
5954820,0
6001959,0
6002005,0
6002685,2
6002212,4
6002287,0
6002454,0
6002457,0
6117345,4
6117348,3
6028993,0
6029008,0
6029013,0
6003131,0
6117512,15
6117520,15
5938989,7
6028143,0
6028205,0
6118302,14
6028273,0
6028276,0
6028333,0
6003888,2
6028398,0
6028458,0
6028551,0
6028633,0
6116927,14
6116929,25
6116934,14
6028817,0
6028848,0
5940562,1
6028179,0
6028970,0
6029057,0
6112771,12
6035008,0
6033967,0
6027701,0
6031784,0
6032794,0
6033370,0
6034760,0
6033521,0
6113678,15
6113691,17
6034570,0
6033020,0
6034587,0
6032511,0
6028832,0
6029691,0
6027884,0
6033104,0
6032296,0
6033773,0
6029898,0
6028790,0
6032642,0
6112434,12
6035986,0
6032702,0
6075112,0
6075076,0
6000403,0
6000449,2
6000500,0
5940514,10
6000764,4
6000823,3
6000846,9
5956514,0
6000309,4
6000381,0
6000539,0
6000577,4
6000579,0
6000584,12
5940437,4
6000707,1
6000873,0
6000896,0
6000901,0
6000969,0
6003058,0
6003079,0
6003099,4
6003113,5
6003284,9
6003287,10
6003306,0
6115130,14
5942374,0
5942394,0
5942408,0
5942442,4
5942451,0
5942493,0
5942497,4
5942593,15
5942600,0
5942621,0
5942644,0
5942650,0
5942655,3
5942690,0
5942764,0
5942831,0
5942838,0
5942855,0
5942896,16
6114364,14
5945142,0
5945214,0
5945215,0
5945216,0
5945253,2
5945270,0
5945405,0
5945409,0
5945429,4
5945520,4
5945564,0
5945569,0
5945580,0
6118155,5
5945604,0
5945623,20
5945635,0
5945662,0
5945678,9
5945720,3
5945739,0
5945780,0
5944974,26
5944996,0
6117915,13
5945051,0
5945101,0
5945113,5
5955652,0
6117267,5
6117270,5
5954970,0
5955016,0
5955068,0
6117448,18
6117449,18
5955345,0
6117973,5
5955690,0
5955723,0
5955757,0
6118201,11
6117619,5
5955436,0
5955507,0
5955529,0
5955530,0
5955835,0
5955861,0
5955881,0
5955297,0
5966364,0
6117314,14
5981222,0
6002086,0
6002315,2
6002355,4
6002394,19
6002406,0
6002575,0
6002592,4
6002700,1
5958069,0
5918195,4
6116849,14
5918425,0
5918667,0
5918743,2
5918216,0
5917847,0
5917864,0
5917913,0
5917973,13
5918019,0
5918030,0
5918057,0
5918328,0
5918352,0
5918365,4
5918384,0
5918545,1
5918571,0
5918593,6
5918632,0
5918651,0
5921330,0
5921343,9
5917484,3
5921573,0
5920693,28
5920733,0
5920829,25
5920833,0
5920853,0
5921011,0
5921090,10
5921160,0
5921199,0
5921202,0
5924056,4
5924106,2
5923550,0
5923579,0
5923602,0
5923630,0
6114980,16
5924147,0
5924198,0
5924200,0
5923676,0
5924272,0
5924273,0
5924280,0
5924330,26
5924350,0
6115354,3
5923778,0
5923833,0
5923883,2
6114815,14
5923450,0
5923472,8
6114963,13
5923915,0
5923926,0
5923927,0
5923979,0
6114255,0
5926280,0
5926287,0
5926289,0
5926318,1
5926383,4
5926384,0
5926654,4
5926657,0
5926670,0
6114596,5
5927033,10
5926397,4
5926412,0
5926417,0
5926479,0
6115226,3
5926821,0
5927140,1
5927160,6
5927173,0
5927187,0
5927214,3
6114862,15
5926612,4
6114110,24
5926883,8
5926934,0
5926972,0
5926979,17
6114293,4
5930878,0
5930891,0
5930906,0
5930932,0
5930958,0
5930966,0
5931146,0
5931200,0
5931201,0
5931209,0
5931221,0
5931226,0
5931231,0
5931421,0
5931422,0
5931457,0
5931479,0
5931616,0
5931702,0
5931718,0
5931732,0
5931773,0
5931790,0
5931819,0
5931827,0
5931035,0
5931052,0
5931096,0
5931267,0
5931320,0
5931351,0
5931560,0
5931571,0
5931575,0
5931595,0
5939805,0
5939845,0
5917505,4
5940006,0
5940062,0
5940099,0
5940236,0
5940314,0
5940322,0
5939457,0
5939463,0
5939467,0
5939505,0
5939515,0
5939523,0
5939615,4
6114745,14
5939668,0
5939674,0
5939696,0
5939718,0
5939750,0
5939918,6
6083782,0
6083830,0
6083992,0
6084022,0
6084023,0
5909922,6
5909779,0
5909839,0
5910025,0
5919023,0
5919088,0
5919273,0
5919276,0
5919278,0
5919283,5
5919286,0
5919296,0
5919324,0
5919350,4
5919365,0
5919368,0
5919386,0
5919430,0
5919438,0
5919506,0
5919577,0
5919578,0
